label,review,review_,senti_words,sum,sum_senti_words
1,the modern master of the chase sequence returns with a chase to end all chases,the modern master of the chase sequence return with a chase to end all chase,modern,15,1
0,"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being","depict the sorriest and most sordid of human behavior on the screen , then laugh at how clever it 's be",epic most sordid how clever,21,5
0,the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes' iconic hero doing battle with dozens of bad guys at once,the sequel play out like a flimsy excuse to give blade fan another look at wesley snipes' iconic hero do battle with dozen of bad guy at once,like flimsy excuse snipe bad,28,5
0,"the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud","the performance be so leaden , michael rymer 's direction be so bloodless and the dialogue be so corny that the audience laugh out loud",dire loud,25,2
0,the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill,the most excruciate 86 minute one might sit through this summer that do not involve a dentist drill,minute rough ill,18,3
0,"just one more collection of penis , breast and flatulence gags in search of a story or a profit or some damn thing","just one more collection of penis , breast and flatulence gag in search of a story or a profit or some damn thing",just flatulence arch fit some damn thin,23,7
0,you have no affinity for most of the characters nothing about them is attractive what they see in each other also is difficult to fathom,you have no affinity for most of the character nothing about them be attractive what they see in each other also be difficult to fathom,thin attractive active see in difficult to fat,25,8
1,"'possession , ' based on the book by a s byatt , demands that labute deal with the subject of love head on trading in his cynicism for reverence and a little wit","'possession , ' base on the book by a s byatt , demand that labute deal with the subject of love head on trade in his cynicism for reverence and a little wit",base boo demand love reverence,33,5
1,the reason to see sade lay with the chemistry and complex relationship between the marquis \( auteil \) and emilie \( le besco \),the reason to see sade lay with the chemistry and complex relationship between the marquis \( auteil \) and emilie \( le besco \),sad complex,24,2
0,"simplistic , silly and tedious","simplistic , silly and tedious",simplistic silly ill tedious,5,4
1,the film proves unrelentingly grim and equally engrossing,the film prof unrelentingly grim and equally engross,unrelenting grim equally,8,3
1,"is red dragon worthy of a place alongside the other hannibal movies \? as hannibal would say , yes , 'it 's like having an old friend for dinner'","be red dragon worthy of a place alongside the other hannibal movie \? a hannibal would say , yes , 'it 's like have an old friend for dinner'",worthy ace long yes like old,29,6
1,this is one of the year 's best films,this be one of the year 's best film,best,9,1
0,"though certainly original in form , altar boys requires a taste for swamp thing type animation , doubled with a deafening score","though certainly original in form , altar boy require a taste for swamp thing type animation , double with a deafen score",certainly original require thin,22,4
1,"formuliac , but fun","formuliac , but fun",,4,0
0,you might be shocked to discover that seinfeld 's real life is boring,you might be shock to discover that seinfeld 's real life be bore,shock real,13,2
1,"begins with promise , but runs aground after being snared in its own tangled plot","begin with promise , but run aground after be snare in it own tangle plot",round,15,1
1,handsome and sophisticated approach to the workplace romantic comedy,handsome and sophisticate approach to the workplace romantic comedy,handsome ace,9,2
1,"a mature , deeply felt fantasy of a director 's travel through 300 years of russian history","a mature , deeply felt fantasy of a director 's travel through 300 year of russian history",mature deeply dire rough,17,4
1,a wildly entertaining scan of evans' career,a wildly entertain scan of evans' career,wildly care,7,2
1,"those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved","those who love cinema paradiso will find the new scene interest , but few will find the movie improve",love ill new,19,3
0,"content merely to lionize its title character and exploit his anger all for easy sanctimony , formulaic thrills and a ham fisted sermon on the need for national health insurance","content merely to lionize it title character and exploit his anger all for easy sanctimony , formulaic thrill and a ham fisted sermon on the need for national health insurance",content anger easy sanctimony ill need,30,6
1,daring and beautifully made,dare and beautifully make,dare beautifully,4,2
0,"even by the intentionally low standards of frat boy humor , sorority boys is a bowser","even by the intentionally low standard of frat boy humor , sorority boy be a bowser",even intent low standard bow,16,5
1,"a comprehensive and provocative film one that pushes the boundaries of biography , and challenges its audience","a comprehensive and provocative film one that push the boundary of biography , and challenge it audience",,17,0
0,blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood 's dirty harry period,blood work be laughable in the solemnity with which it try to pump life into overwork element from eastwood 's dirty harry period,laughable able solemnity dirty,23,4
0,its juxtaposition of overwrought existentialism and stomach churning gore will have you forever on the verge of either cracking up or throwing up,it juxtaposition of overwrought existentialism and stomach churn gore will have you forever on the verge of either crack up or throw up,over rough ill,23,3
1,lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience but it also has many of the things that made the first one charming,lack the inspiration of the original and ha a bloat plot that stretch the run time about 10 minute past a child 's interest and an adult 's patience but it also ha many of the thing that make the first one charm,original minute pat thin first,43,5
1,arteta directs one of the best ensemble casts of the year,arteta direct one of the best ensemble cast of the year,dire best,11,2
0,"dialogue heavy and too cerebral for its own good or , at any rate , too cerebral for its racy subject matter","dialogue heavy and too cerebral for it own good or , at any rate , too cerebral for it racy subject matter",heavy good racy matter,22,4
0,"without a fresh infusion of creativity , 4ever is neither a promise nor a threat so much as wishful thinking","without a fresh infusion of creativity , 4ever be neither a promise nor a threat so much a wishful think",fresh wishful thin,20,3
0,"pitiful , slapdash disaster a doa dud from frame one","pitiful , slapdash disaster a doa dud from frame one",pitiful slapdash,10,2
0,"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio as for children , they wo n't enjoy the movie at all","adult will certainly want to spend their time in the theater think up grocery list and way to tell their kid how not to act like pinocchio a for child , they wo n't enjoy the movie at all",ill certainly want to thin like,39,6
1,"films about loss , grief and recovery are pretty valuable these days seen in that light , moonlight mile should strike a nerve in many","film about loss , grief and recovery be pretty valuable these day see in that light , moonlight mile should strike a nerve in many",pretty valuable able see in light,25,6
1,"it 's up to you to decide whether to admire these people 's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life","it 's up to you to decide whether to admire these people 's dedication to their cause or be repel by their dogmatism , manipulativeness and narrow , fearful view of american life",admire narrow fearful,33,3
0,"the movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory","the movie be so resolutely cobble together out of older movie that it even us a totally unnecessary prologue , just because it seem obligatory",so resolutely old even necessary just obligatory,25,7
1,"if reno is to the left of liberal on the political spectrum , her tough , funny , rather chaotic show is n't subversive so much as it is nit picky about the hypocrisies of our time","if reno be to the leave of liberal on the political spectrum , her tough , funny , rather chaotic show be n't subversive so much a it be nit picky about the hypocrisy of our time",liberal politic tough funny rather chaotic pick hypocrisy,37,8
1,"filmmakers david weissman and bill weber benefit enormously from the cockettes' camera craziness not only did they film performances , but they did the same at home","filmmaker david weissman and bill weber benefit enormously from the cockettes' camera craziness not only do they film performance , but they do the same at home",ill fit sly,27,3
0,simply a re hash of the other seven films,simply a re hash of the other seven film,simply even,9,2
0,"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu rich new york intelligentsia and its off","despite a performance of sustain intelligence from stanford and another of subtle humour from bebe neuwirth , a an older woman who seduce oscar , the film founder on it lack of empathy for the social milieu rich new york intelligentsia and it off",old pat rich new intelligent,44,5
0,"plays like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story","play like one long , meander sketch inspire by the work of john water and todd solondz , rather than a fully develop story",like long mean odd,24,4
0,"a film made with as little wit , interest , and professionalism as artistically possible for a slummy hollywood caper flick","a film make with a little wit , interest , and professionalism a artistically possible for a slummy hollywood caper flick",artistically,21,1
0,it gets bogged down by hit and miss topical humour before getting to the truly good stuff,it get bogged down by hit and miss topical humour before get to the truly good stuff,miss truly good,17,3
0,"it does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject","it doe n't offer audience any way of grip what it point be , or even it attitude toward it subject",even,21,1
1,like other great documentaries this goes after one truth \( the ford administration 's complicity in tearing 'orphans' from their mothers \) and stumbles upon others even more compelling,like other great documentary this go after one truth \( the ford administration 's complicity in tear 'orphans' from their mother \) and stumble upon others even more compel,like great licit even,29,4
1,"es divertida , visualmente espectacular y muy entretenida simple y sencillamente te sorprender","e divertida , visualmente espectacular y muy entretenida simple y sencillamente te sorprender",spectacular simple ill lame,13,4
1,a story about intelligent high school students that deals with first love sweetly but also seriously it is also beautifully acted,a story about intelligent high school student that deal with first love sweetly but also seriously it be also beautifully act,intelligent high first love sweetly so seriously sly beautifully,21,9
0,"there 's an epic here , but you have to put it together yourself","there 's an epic here , but you have to put it together yourself",epic your,14,2
1,"i ca n't say that i liked homeboy it 'd be more accurate to say that i found it intriguing , bizarre , dogma like in spots and quite truthful , in its way","i ca n't say that i like homeboy it 'd be more accurate to say that i find it intrigue , bizarre , dogma like in spot and quite truthful , in it way",like more accurate quite truthful,34,5
1,"zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones","zhang yimou deliver warm , genuine character who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their love one",warm genuine rough dishonest honesty genuinely happiness pine love,30,9
1,"the story line may be 127 years old , but el crimen del padre amaro could n't be more timely in its despairing vision of corruption within the catholic establishment","the story line may be 127 year old , but el crimen del padre amaro could n't be more timely in it despair vision of corruption within the catholic establishment",old despair corruption thin,30,4
0,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gang of new york be an unapologetic mess , whose only save grace be that it end by blow just about everything up",new ace low just thin,23,5
1,"a family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and full life","a family film that contain some hefty thematic material on time , death , eternity , and what be need to live a rich and full life",some hefty on time need rich,27,6
0,a frustrating combination of strained humor and heavy handed sentimentality,a frustrate combination of strain humor and heavy hand sentimentality,heavy sentimental,10,2
1,one of the best of a growing strain of daring films that argue that any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect,one of the best of a grow strain of dare film that argue that any sexual relationship that doe n't hurt anyone and work for it participant be a relationship that be worthy of our respect,best dare be worthy of worthy respect,36,7
1,eyre is on his way to becoming the american indian spike lee,eyre be on his way to become the american indian spike lee,,12,0
0,"feels less like it 's about teenagers , than it was written by teenagers","feel le like it 's about teenager , than it wa write by teenager",like,14,1
1,"this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving family","this ecologically mind , wildlife friendly film teach good ethic while entertain with it unconventionally wacky but love family",logical mind wild friendly good unconventionally conventional love,19,8
1,"sure , i hated myself in the morning but then again , i hate myself most mornings i still like moonlight mile , better judgment be damned","sure , i hat myself in the morning but then again , i hate myself most morning i still like moonlight mile , better judgment be damn",hate still ill like light damn,27,6
0,sade achieves the near impossible it turns the marquis de sade into a dullard,sade achieve the near impossible it turn the marquis de sade into a dullard,sad dull,14,2
1,the film will appeal to discovery channel fans and will surely widen the perspective of those of us who see the continent through rose colored glasses,the film will appeal to discovery channel fan and will surely widen the perspective of those of u who see the continent through rise color glass,ill rough,26,2
0,"it cannot be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull yes , dull","it cannot be enjoy , even on the level that one enjoy a bad slasher flick , primarily because it be dull yes , dull",even level bad dull yes,25,5
1,"interacting eyeball to eyeball and toe to toe , hopkins and norton are a winning combination but fiennes steals 'red dragon' right from under their noses","interact eyeball to eyeball and toe to toe , hopkins and norton be a win combination but fiennes steal 'red dragon' right from under their nose",right,26,1
1,"although the subject matter may still be too close to recent national events , the film works mostly due to its superior cast of characters","although the subject matter may still be too close to recent national event , the film work mostly due to it superior cast of character",matter still ill too close even due superior,25,8
1,"thanks to the ch teau 's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yields surprises","thank to the ch teau 's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yield surprise",thank whimsicality serious surprise,26,4
1,those moviegoers who would automatically bypass a hip hop documentary should give scratch a second look,those moviegoer who would automatically bypass a hip hop documentary should give scratch a second look,pass,16,1
1,a solidly seaworthy chiller,a solidly seaworthy chiller,solidly idly worthy ill,4,4
1,that the e graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy,that the e graveyard hold a many good idea a bad be the cold comfort that chin 's film serf up with style and empathy,grave old good bad cold comfort pat,25,7
0,an overstuffed compendium of teen catholic movie dogma,an overstuff compendium of teen catholic movie dogma,,8,0
1,"the overall result is an intelligent , realistic portrayal of testing boundaries","the overall result be an intelligent , realistic portrayal of test boundary",intelligent realistic,12,2
0,"the vintage is pure '87 , with a halfhearted twist on its cautionary message fatal attraction do n't have an affair with a nutjob unfaithful do n't if you 're married to one","the vintage be pure '87 , with a halfhearted twist on it cautionary message fatal attraction do n't have an affair with a nutjob unfaithful do n't if you 're marry to one",pure caution sage fat fair faithful,33,6
1,always remains movingly genuine,always remain movingly genuine,main movingly genuine,4,3
0,"a perplexing example of promise unfulfilled , despite many charming moments","a perplex example of promise unfulfilled , despite many charm moment",ample ill,11,2
1,"by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable","by not avert his eye , solondz force u to consider the unthinkable , the unacceptable , the unmentionable",consider thin able unacceptable accept unmentionable,19,6
0,even those of a single digit age will be able to recognize that this story is too goofy even for disney,even those of a single digit age will be able to recognize that this story be too goofy even for disney,even single ill able,21,4
1,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip non synching , but otherwise the production is suitably elegant","audience be advise to sit near the back and squint to avoid notice some truly egregious lip non synching , but otherwise the production be suitably elegant",back void some truly wise suitably ably elegant,27,8
0,built on the premise that middle class arkansas consists of monster truck loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids,build on the premise that middle class arkansas consist of monster truck love good ol' boy and peroxide blond honey whose worldly knowledge come from tv rerun and supermarket tabloid,class a love good worldly super,30,6
1,"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs","although occasionally static to the point of resemble a stage play , the film deliver a solid mixture of sweetness and laugh",static to the point solid mix sweet,22,7
0,bean drops the ball too many times hoping the nifty premise will create enough interest to make up for an unfocused screenplay,bean drop the ball too many time hop the nifty premise will create enough interest to make up for an unfocused screenplay,ill focus used,22,3
1,"a smart , sassy and exceptionally charming romantic comedy","a smart , sassy and exceptionally charm romantic comedy",smart exceptionally,9,2
0,this u boat does n't have a captain,this u boat doe n't have a captain,apt,8,1
1,"executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted scrooge could fail to respond","execute with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted scrooge could fail to respond",cute such gentle insistent sincerity good appreciation most hardhearted,28,9
0,like most movies about the pitfalls of bad behavior circuit gets drawn into the party,like most movie about the pitfall of bad behavior circuit get draw into the party,like bad raw,15,3
1,"sly , sophisticated and surprising","sly , sophisticate and surprise",sly surprise,5,2
1,"bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches","bright seem alternately amuse and disgust with this material , and he ca n't help throw in a few of his own touch",bright right,23,2
1,i was impressed by how many tit for tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an american russian armageddon,i wa impress by how many tit for tat retaliatory response the filmmaker allow before pull the plug on the conspirator and avert an american russian armageddon,allow low,27,2
1,"unfolds as one of the most politically audacious films of recent decades from any country , but especially from france","unfold a one of the most politically audacious film of recent decade from any country , but especially from france",old most politic audacious,20,4
1,"yakusho , as always , is wonderful as the long faced sad sack and his chemistry with shimizu is very believable","yakusho , a always , be wonderful a the long face sad sack and his chemistry with shimizu be very believable",wonderful long ace sad very believable able,21,7
0,hollywood 's answer to an air ball,hollywood 's answer to an air ball,,7,0
1,a well put together piece of urban satire,a well put together piece of urban satire,well satire,8,2
0,"femme fatale offers nothing more than a bait and switch that is beyond playing fair with the audience are we dealing with dreams , visions or being told what actually happened as if it were the third ending of clue \?","femme fatale offer nothing more than a bait and switch that be beyond play fair with the audience be we deal with dream , vision or be tell what actually happen a if it be the third end of clue \?",fat thin fair actually,41,4
1,"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg they live together the film has a lot of charm","neither quite a comedy nor a romance , more of an impish divertissement of theme that interest attal and gainsbourg they live together the film ha a lot of charm",,30,0
1,"trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours a sign of its effectiveness","trap wo n't score point for political correctness , but it may cause parent a few sleepless hour a sign of it effectiveness",politic correct effective,23,3
1,"about schmidt is undoubtedly one of the finest films of the year if you 're not deeply touched by this movie , check your pulse","about schmidt be undoubtedly one of the finest film of the year if you 're not deeply touch by this movie , check your pulse",undoubtedly doubt finest deeply your,25,5
0,we have an actor who is great fun to watch performing in a film that is only mildly diverting,we have an actor who be great fun to watch perform in a film that be only mildly divert,great mildly,19,2
0,these characters become wearisome,these character become wearisome,wearisome,4,1
1,leigh makes these lives count and he allows a gawky actor like spall who could too easily become comic relief in any other film to reveal his impressively delicate range,leigh make these life count and he allow a gawky actor like spall who could too easily become comic relief in any other film to reveal his impressively delicate range,allow low gawky like too easily impressively delicate,30,8
0,"whether this is art imitating life or life imitating art , it 's an unhappy situation all around","whether this be art imitate life or life imitate art , it 's an unhappy situation all around",happy round,18,2
1,"the movie is amateurish , but it 's a minor treat","the movie be amateurish , but it 's a minor treat",minor,11,1
1,"sillier , cuter , and shorter than the first \( as best i remember \) , but still a very good time at the cinema","sillier , cuter , and shorter than the first \( a best i remember \) , but still a very good time at the cinema",ill cute first best still very good,25,7
1,"the film reminds me of a vastly improved germanic version of my big fat greek wedding with better characters , some genuine quirkiness and at least a measure of style the difference is that i truly enjoyed most of mostly martha while i ne","the film remind me of a vastly improve germanic version of my big fat greek wed with better character , some genuine quirkiness and at least a measure of style the difference be that i truly enjoy most of mostly martha while i ne",mind vast big fat reek some genuine truly,44,8
0,exactly what it claims to be a simple diversion for the kids,exactly what it claim to be a simple diversion for the kid,exactly simple,12,2
0,"it feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs","it feel like very light errol morris , focus on eccentricity but fail , ultimately , to make something bigger out of it scrapbook of oddball",feel like like very light focus eccentricity thin big boo odd,26,11
1,"hayek throws herself into this dream hispanic role with a teeth clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo","hayek throw herself into this dream hispanic role with a teeth clench gusto , she strike a potent chemistry with molina and she gradually make u believe she be kahlo",panic gradual,30,2
1,another trumpet blast that there may be a new mexican cinema a bornin',another trumpet blast that there may be a new mexican cinema a bornin',new,13,1
0,is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it \?,be it possible for a documentary to be utterly entrance by it subject and still show virtually no understand of it \?,utter still ill how virtually understand,22,6
0,this overproduced piece of dreck is shockingly bad and absolutely unnecessary hmmm might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener \?,this overproduce piece of dreck be shockingly bad and absolutely unnecessary hmmm might i suggest that the wayward wooden one end it all by stuff himself into an electric pencil sharpener \?,shockingly bad necessary wayward sharp,32,5
0,"like those to rome , all roads in the banger sisters inevitably lead to a joke about hawn 's breasts , which constantly threaten to upstage the woman sporting them","like those to rome , all road in the banger sister inevitably lead to a joke about hawn 's breast , which constantly threaten to upstage the woman sport them",like anger ably constantly,30,4
1,horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth,horn and halo benefit from serendipity but also remind u of our own responsibility to question what be tell a the truth,fit pity mind question,22,4
0,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,the premise be overshadow by the uberviolence of the clericks a this become just another kung fu sci fi movie with silly action sequence,just silly ill,24,3
1,cremaster 3 is at once a tough pill to swallow and a minor miracle of self expression,cremaster 3 be at once a tough pill to swallow and a minor miracle of self expression,tough ill allow low minor,17,5
0,the material and the production itself are little more than routine,the material and the production itself be little more than routine,routine,11,1
0,this thing works on no level whatsoever for me,this thing work on no level whatsoever for me,thin level,9,2
0,a reality snubbing hodgepodge,a reality snub hodgepodge,real,4,1
0,putting the primitive murderer inside a high tech space station unleashes a pandora 's box of special effects that run the gamut from cheesy to cheesier to cheesiest,put the primitive murderer inside a high tech space station unleash a pandora 's box of special effect that run the gamut from cheesy to cheesier to cheesiest,primitive high ace,28,3
0,diane lane 's sophisticated performance ca n't rescue adrian lyne 's unfaithful from its sleazy moralizing,diane lane 's sophisticate performance ca n't rescue adrian lyne 's unfaithful from it sleazy moralize,faithful sleazy,16,2
0,"one of those staggeringly well produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily","one of those staggeringly well produce , joylessly extravagant picture that keep whoosh you from one visual marvel to the next , hastily , emptily",well joyless sly extravagant keep marvel hastily,25,7
0,"it 's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt","it 's a film with an idea bury somewhere inside it fabric , but never clearly see or felt",clearly,19,1
0,"not really a thriller so much as a movie for teens to laugh , groan and hiss at","not really a thriller so much a a movie for teen to laugh , groan and hiss at",really ill,18,2
1,"like shrek , spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world","like shrek , spirit 's visual imagination remind you of why animation be such a perfect medium for child , because of the way it allow the mind to enter and accept another world",like mind perfect allow low accept,34,6
0,"choppy , overlong documentary about 'the lifestyle '","choppy , overlong documentary about 'the lifestyle '",choppy long,8,2
1,"oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !","oh , jam ! your 20th out show off a lot of stamen and vitality , and get this , madonna 's cameo doe n't suck !",your tame vital,27,3
0,"an ambitious , serious film that manages to do virtually everything wrong sitting through it is something akin to an act of cinematic penance","an ambitious , serious film that manage to do virtually everything wrong sit through it be something akin to an act of cinematic penance",ambitious serious virtually thin wrong rough penance,24,7
0,the movie bounces all over the map,the movie bounce all over the map,,7,0
0,"the characters , cast in impossibly contrived situations , are totally estranged from reality","the character , cast in impossibly contrive situation , be totally estrange from reality",strange real,14,2
1,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning glory exuberant as she was in am lie","audrey tatou ha a knack for pick role that magnify her outrageous charm , and in this literate french comedy , she 's a morning glory exuberant a she wa in be lie",pick outrageous literate exuberant,33,4
1,"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love","still rapturous after all these year , cinema paradiso stand a one of the great film about movie love",still ill rapturous apt great love,19,6
0,"somewhere inside the mess that is world traveler , there is a mediocre movie trying to get out","somewhere inside the mess that be world traveler , there be a mediocre movie try to get out",mediocre,18,1
0,"fans of plympton 's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers","fan of plympton 's short may marginally enjoy the film , but it be doubtful this listless feature will win him any new viewer",doubtful listless ill new,24,4
1,"not a bad choice here , assuming that the air conditioning in the theater is working properly","not a bad choice here , assume that the air condition in the theater be work properly",bad choice properly,17,3
1,a lovely and beautifully photographed romance,a lovely and beautifully photograph romance,lovely beautifully hot,6,3
0,"'yes , that 's right it 's forrest gump , angel of death '","'yes , that 's right it 's forrest gump , angel of death '",yes right,14,2
1,"a solidly constructed , entertaining thriller that stops short of true inspiration","a solidly construct , entertain thriller that stop short of true inspiration",solidly idly ill true,12,4
0,newcomer helmer kevin donovan is hamstrung by a badly handled screenplay of what is really an amusing concept a high tech tux that transforms its wearer into a superman,newcomer helmer kevin donovan be hamstring by a badly handle screenplay of what be really an amuse concept a high tech tux that transform it wearer into a superman,new badly really high super,29,5
1,the biggest problem with this movie is that it 's not nearly long enough,the biggest problem with this movie be that it 's not nearly long enough,big long,14,2
1,has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be,ha enough gun battle and throwaway humor to cover up the yawn chasm where the plot should be,,18,0
1,"the strong subject matter continues to shock throughout the film not everyone will play the dark , challenging tune taught by the piano teacher","the strong subject matter continue to shock throughout the film not everyone will play the dark , challenge tune teach by the piano teacher",strong matter shock rough ill dark ache,24,7
0,"bears resemblance to , and shares the weaknesses of , too many recent action fantasy extravaganzas in which special effects overpower cogent story telling and visual clarity during the big action sequences","bear resemblance to , and share the weakness of , too many recent action fantasy extravaganza in which special effect overpower cogent story tell and visual clarity during the big action sequence",weakness big,32,2
1,bowling for columbine remains a disquieting and thought provoking film,bowl for columbine remain a disquiet and think provoke film,bow main quiet thin,10,4
1,"raimi 's matured quite a bit with spider man , even though it 's one of the most plain white toast comic book films you 'll ever see","raimi 's mature quite a bite with spider man , even though it 's one of the most plain white toast comic book film you 'll ever see",mature even most plain boo,28,5
1,able to provide insight into a fascinating part of theater history,able to provide insight into a fascinate part of theater history,able sigh,11,2
0,all the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure,all the necessary exposition prevent the picture from rise above your generic sand 'n' sandal adventure,necessary even above your venture,16,5
0,"a baffling misfire , and possibly the weakest movie woody allen has made in the last twenty years","a baffle misfire , and possibly the weakest movie woody allen ha make in the last twenty year",weak,18,1
0,"sunk by way too much indulgence of scene chewing , teeth gnashing actorliness","sink by way too much indulgence of scene chew , teeth gnash actorliness",,13,0
1,"el peso de un l quido incoloro , el peso del l quido vital , del amor como elemento de vida , y de muerte","el peso de un l quido incoloro , el peso del l quido vital , del amor como elemento de vida , y de muerte",vital,25,1
0,there 's something not entirely convincing about the quiet american and that holds true for both the movie and the title character played by brendan fraser,there 's something not entirely convince about the quiet american and that hold true for both the movie and the title character play by brendan fraser,thin quiet old true,26,4
1,broomfield has a rather unique approach to documentary he thinks the film is just as much a document about him as it is about the subject,broomfield ha a rather unique approach to documentary he think the film be just a much a document about him a it be about the subject,thin just,26,2
1,parker cannot sustain the buoyant energy level of the film 's city beginnings into its country conclusion,parker cannot sustain the buoyant energy level of the film 's city begin into it country conclusion,buoyant level,17,2
0,"it 's the kind of movie that ends up festooning u s art house screens for no reason other than the fact that it 's in french \( well , mostly \) with english subtitles and is magically 'significant' because of that","it 's the kind of movie that end up festoon u s art house screen for no reason other than the fact that it 's in french \( well , mostly \) with english subtitle and be magically 'significant' because of that",kind for no reason well significant,42,6
0,"what is captured during the conceptual process does n't add up to a sufficient explanation of what the final dance work , the selection , became in its final form","what be capture during the conceptual process doe n't add up to a sufficient explanation of what the final dance work , the selection , become in it final form",apt final select,30,3
1,"daringly perceptive , taut , piercing and feisty , biggie and tupac is undeniably subversive and involving in its bold presentation","daringly perceptive , taut , pierce and feisty , biggie and tupac be undeniably subversive and involve in it bold presentation",daringly perceptive feisty big ably bold old resent,21,8
1,drumline ably captures the complicated relationships in a marching band,drumline ably capture the complicate relationship in a march band,ably apt arch,10,3
1,"this version 's no classic like its predecessor , but its pleasures are still plentiful","this version 's no classic like it predecessor , but it pleasure be still plentiful",like still ill,15,3
1,"a hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as grant 's two best films four weddings and a funeral and bridget jones 's diary","a hugely reward experience that 's every bite a enlighten , insightful and entertain a grant 's two best film four wed and a funeral and bridget jones 's diary",huge reward light insightful sigh grant best,30,7
0,a dopey movie clothed in excess layers of hipness,a dopey movie clothe in excess layer of hipness,excess,9,1
1,"brian de palma is utterly mad cinema mad , set piece mad , style mad it 's a beautiful madness","brian de palma be utterly mad cinema mad , set piece mad , style mad it 's a beautiful madness",utter set beautiful,20,3
0,the movie 's vision of a white american zealously spreading a puritanical brand of christianity to south seas islanders is one only a true believer could relish,the movie 's vision of a white american zealously spread a puritanical brand of christianity to south sea islander be one only a true believer could relish,zealous sly true,27,3
0,wow i have not been this disappointed by a movie in a long time,wow i have not be this disappoint by a movie in a long time,long,14,1
1,a cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall,a cautionary tale about the grandiosity of a college student who see himself a impervious to a fall,caution grand,18,2
0,opera on film is never satisfactory the art demands live viewing the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen,opera on film be never satisfactory the art demand live view the innate theatrics that provide it thrill and extreme emotion lose their luster when flatten onscreen,satisfactory demand ill extreme flat,27,5
